dataset,field_name,description,source_dtype_observed,unit,analytical_role,nullable_observed,non_null_count,missing_count,missing_pct,unique_count,example_values,source_reference,notes
weather,Wind Spd Flag,ECCC flag associated with wind speed.,float64,,Data-quality metadata,True,0,87648,100.0,0,,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Visibility (km),Horizontal visibility.,float64,km,Optional weather predictor,True,43817,43831,50.008,30,24.1 | 16.1 | 2.4,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Visibility Flag,ECCC flag associated with visibility.,object,,Data-quality metadata,True,1,87647,99.9989,1,M,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Stn Press (kPa),Atmospheric pressure measured at the station.,float64,kPa,Weather predictor,True,87601,47,0.0536,664,101.67 | 101.66 | 101.69,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Stn Press Flag,ECCC flag associated with station pressure.,float64,,Data-quality metadata,True,0,87648,100.0,0,,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Hmdx,Humidex value when reported by the source.,float64,,Derived heat-stress predictor,True,15430,72218,82.3955,22,26.0 | 27.0 | 25.0,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Hmdx Flag,ECCC flag associated with humidex.,float64,,Data-quality metadata,True,0,87648,100.0,0,,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Wind Chill,Wind-chill value when reported by the source.,float64,,Derived cold-stress predictor,True,8782,78866,89.9804,34,-4.0 | -3.0 | -5.0,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Wind Chill Flag,ECCC flag associated with wind chill.,float64,,Data-quality metadata,True,0,87648,100.0,0,,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Weather,Text description of observed weather conditions when reported.,object,,Optional categorical weather predictor,True,18720,68928,78.6418,70,Clear | Mostly Cloudy | Cloudy,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,SOURCE_FILE,Original monthly weather filename.,object,,Traceability field,False,87648,0,0.0,60,2021_01.csv | 2021_02.csv | 2021_03.csv,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
weather,SOURCE_PERIOD,Monthly source period extracted during preprocessing.,int64,,Traceability field,False,87648,0,0.0,60,202101 | 202102 | 202103,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,Expected format: YYYYMM.
calendar,timestamp_utc,UTC representation derived from the fixed source-aligned local-standard-time key.,"datetime64[ns, UTC]",,Universal temporal audit key,False,43824,0,0.0,43824,2021-01-01 05:00:00+00:00 | 2021-01-01 06:00:00+00:00 | 2021-01-01 07:00:00+00:00,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,timestamp_local,"Source-aligned hourly key with exactly 24 records per date; used to join consumption, weather, and calendar.",datetime64[ns],,Primary temporal integration key,False,43824,0,0.0,43824,2021-01-01 00:00:00 | 2021-01-01 01:00:00 | 2021-01-01 02:00:00,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,timestamp_toronto,"Toronto civil-time representation of the UTC instant, including daylight-saving changes.","datetime64[ns, UTC]",,Civil-time interpretation field,False,43824,0,0.0,43824,2021-01-01 05:00:00+00:00 | 2021-01-01 06:00:00+00:00 | 2021-01-01 07:00:00+00:00,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,date,Calendar date.,datetime64[ns],,Temporal feature,False,43824,0,0.0,1826,2021-01-01 | 2021-01-02 | 2021-01-03,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,year,Calendar year.,int64,,Temporal feature,False,43824,0,0.0,5,2021 | 2022 | 2023,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,quarter,Calendar quarter from 1 to 4.,int64,,Temporal feature,False,43824,0,0.0,4,1 | 2 | 3,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,month,Calendar month from 1 to 12.,int64,,Temporal feature,False,43824,0,0.0,12,1 | 2 | 3,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,month_name,English month name.,object,,Descriptive temporal feature,False,43824,0,0.0,12,January | February | March,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,week_of_year,ISO week number.,int64,,Temporal feature,False,43824,0,0.0,53,53 | 1 | 2,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,day_of_year,Sequential day number within the year.,int64,,Temporal feature,False,43824,0,0.0,366,1 | 2 | 3,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,day_of_month,Day number within the month.,int64,,Temporal feature,False,43824,0,0.0,31,1 | 2 | 3,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,hour,Hour of day from 0 to 23.,int64,,Core temporal predictor,False,43824,0,0.0,24,0 | 1 | 2,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,hour_group,"Grouped period of day: Night, Morning, Afternoon, or Evening.",object,,Categorical temporal predictor,False,43824,0,0.0,4,Night | Morning | Afternoon,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,weekday,Weekday number where Monday is 0 and Sunday is 6.,int64,,Core temporal predictor,False,43824,0,0.0,7,4 | 5 | 6,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,weekday_name,English weekday name.,object,,Descriptive temporal feature,False,43824,0,0.0,7,Friday | Saturday | Sunday,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_weekend,Indicator equal to 1 for Saturday or Sunday.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_workday,Indicator equal to 1 when the date is neither a weekend nor an Ontario public holiday.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_monday,Indicator equal to 1 on Monday.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_friday,Indicator equal to 1 on Friday.,int64,,Binary temporal predictor,False,43824,0,0.0,2,1 | 0,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,season,Meteorological season derived from month.,object,,Categorical temporal predictor,False,43824,0,0.0,4,Winter | Spring | Summer,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_business_hour,Project-defined weekday business-hour indicator for hours 08 through 17.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_peak_hour_window,Project-defined descriptive indicator for hours 07–10 or 17–21.,int64,,Exploratory temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,This is not the Peak-Risk target.
calendar,is_month_start,Indicator for the first calendar day of a month.,int64,,Binary temporal predictor,False,43824,0,0.0,2,1 | 0,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_month_end,Indicator for the last calendar day of a month.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_year_start,Indicator for January 1.,int64,,Binary temporal predictor,False,43824,0,0.0,2,1 | 0,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_year_end,Indicator for December 31.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_public_holiday,Indicator for a public holiday generated for Ontario.,int64,,Binary temporal predictor,False,43824,0,0.0,2,1 | 0,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,holiday_name,Holiday name returned by the Python holidays library for Ontario.,object,,Categorical temporal predictor,True,1176,42648,97.3165,13,New Year's Day | Family Day | Good Friday,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_day_before_holiday,Indicator for the calendar day immediately before a public holiday.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_day_after_holiday,Indicator for the calendar day immediately after a public holiday.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,days_to_holiday,Number of calendar days to the next public holiday; 0 on a holiday.,int64,days,Numeric temporal predictor,False,43824,0,0.0,77,0 | 44 | 43,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,days_after_holiday,Number of calendar days since the previous public holiday; 0 on a holiday.,int64,days,Numeric temporal predictor,False,43824,0,0.0,77,0 | 1 | 2,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_long_weekend,Project-derived indicator for a holiday connected to a weekend.,int64,,Binary temporal predictor,False,43824,0,0.0,2,1 | 0,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_daylight_saving_time,Indicator derived from Toronto civil time showing whether DST is active.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_dst_transition_day,Indicator for a date containing a Toronto UTC-offset transition.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_spring_forward_day,Indicator for the spring DST transition date.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,is_fall_back_day,Indicator for the fall DST transition date.,int64,,Binary temporal predictor,False,43824,0,0.0,2,0 | 1,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,utc_offset_hours,Toronto civil-time offset from UTC for the represented instant.,int64,hours,Temporal metadata / possible predictor,False,43824,0,0.0,2,-5 | -4,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,date_index,Number of days elapsed from the first calendar date.,int64,days,Trend feature,False,43824,0,0.0,1826,0 | 1 | 2,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,hour_sin,Sine transformation of hour for cyclical encoding.,float64,,Cyclical temporal predictor,False,43824,0,0.0,20,0.0 | 0.2588190451025207 | 0.4999999999999999,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,hour_cos,Cosine transformation of hour for cyclical encoding.,float64,,Cyclical temporal predictor,False,43824,0,0.0,22,1.0 | 0.9659258262890684 | 0.8660254037844387,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,weekday_sin,Sine transformation of weekday for cyclical encoding.,float64,,Cyclical temporal predictor,False,43824,0,0.0,7,-0.433883739117558 | -0.9749279121818236 | -0.7818314824680299,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,weekday_cos,Cosine transformation of weekday for cyclical encoding.,float64,,Cyclical temporal predictor,False,43824,0,0.0,7,-0.9009688679024191 | -0.2225209339563146 | 0.6234898018587334,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,month_sin,Sine transformation of month for cyclical encoding.,float64,,Cyclical temporal predictor,False,43824,0,0.0,11,0.0 | 0.4999999999999999 | 0.8660254037844386,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
calendar,month_cos,Cosine transformation of month for cyclical encoding.,float64,,Cyclical temporal predictor,False,43824,0,0.0,11,1.0 | 0.8660254037844387 | 0.5000000000000001,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
