column,dtype,missing_pct,unique_count,preliminary_recommendation,reason
assigned_station_name,category,0.0,2,retain_for_traceability_not_directly_as_numeric_feature,Identifier or temporal audit field.
Longitude (x),float64,0.0,2,retain_candidate,Potentially useful predictor; final selection requires validation.
Latitude (y),float64,0.0,2,retain_candidate,Potentially useful predictor; final selection requires validation.
Temp (°C),float64,0.053624,564,retain_candidate,Potentially useful predictor; final selection requires validation.
Dew Point Temp (°C),float64,0.054765,541,retain_candidate,Potentially useful predictor; final selection requires validation.
Rel Hum (%),float64,0.054765,87,retain_candidate,Potentially useful predictor; final selection requires validation.
Precip. Amount (mm),float64,50.046778,108,retain_for_eda_then_review_model_specific_handling,Substantial missingness but potentially meaningful weather information.
Wind Dir (10s deg),float64,50.835159,36,retain_for_eda_then_review_model_specific_handling,Substantial missingness but potentially meaningful weather information.
Wind Spd (km/h),float64,50.006846,65,retain_for_eda_then_review_model_specific_handling,Substantial missingness but potentially meaningful weather information.
Visibility (km),float64,50.007986,30,retain_for_eda_then_review_model_specific_handling,Substantial missingness but potentially meaningful weather information.
Stn Press (kPa),float64,0.053624,664,retain_candidate,Potentially useful predictor; final selection requires validation.
Hmdx,float64,82.395491,22,review_for_exclusion_or_special_handling,Very high missingness; usefulness must be demonstrated.
Wind Chill,float64,89.980376,34,review_for_exclusion_or_special_handling,Very high missingness; usefulness must be demonstrated.
Weather,category,78.64184,70,review_encoding_or_redundancy,Categorical/descriptive field may duplicate encoded calendar information.
