feature_name,feature_family,source_columns,description,forecasting_candidate,peak_risk_candidate,computation_scope,leakage_risk
Temp (°C),existing,Temp (°C),Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
Dew Point Temp (°C),existing,Dew Point Temp (°C),Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
Rel Hum (%),existing,Rel Hum (%),Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
Precip. Amount (mm),existing,Precip. Amount (mm),Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
Wind Dir (10s deg),existing,Wind Dir (10s deg),Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
Wind Spd (km/h),existing,Wind Spd (km/h),Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
Visibility (km),existing,Visibility (km),Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
Stn Press (kPa),existing,Stn Press (kPa),Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
Hmdx,existing,Hmdx,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
Wind Chill,existing,Wind Chill,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
Weather,existing,Weather,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
month_name,administrative_or_redundant,month_name,Removed from the baseline feature table by explicit configuration.,False,False,static_dataset,none
weekday_name,administrative_or_redundant,weekday_name,Removed from the baseline feature table by explicit configuration.,False,False,static_dataset,none
hour_sin,temporal_cyclical,hour,Sine cyclical encoding of hour with period 24.,True,True,static_dataset,low
hour_cos,temporal_cyclical,hour,Cosine cyclical encoding of hour with period 24.,True,True,static_dataset,low
weekday_sin,temporal_cyclical,weekday,Sine cyclical encoding of weekday with period 7.,True,True,static_dataset,low
weekday_cos,temporal_cyclical,weekday,Cosine cyclical encoding of weekday with period 7.,True,True,static_dataset,low
month_sin,temporal_cyclical,month,Sine cyclical encoding of month with period 12.,True,True,static_dataset,low
month_cos,temporal_cyclical,month,Cosine cyclical encoding of month with period 12.,True,True,static_dataset,low
day_of_year_sin,temporal_cyclical,day_of_year,Sine cyclical encoding of day_of_year with period 365.25.,True,True,static_dataset,low
day_of_year_cos,temporal_cyclical,day_of_year,Cosine cyclical encoding of day_of_year with period 365.25.,True,True,static_dataset,low
total_consumption_kwh_lag_1h,target_lag,total_consumption_kwh,Electricity consumption observed 1 hour(s) before the current timestamp within the same FSA.,True,True,historical_only,low_if_computed_after_temporal_ordering
total_consumption_kwh_lag_2h,target_lag,total_consumption_kwh,Electricity consumption observed 2 hour(s) before the current timestamp within the same FSA.,True,True,historical_only,low_if_computed_after_temporal_ordering
total_consumption_kwh_lag_3h,target_lag,total_consumption_kwh,Electricity consumption observed 3 hour(s) before the current timestamp within the same FSA.,True,True,historical_only,low_if_computed_after_temporal_ordering
total_consumption_kwh_lag_24h,target_lag,total_consumption_kwh,Electricity consumption observed 24 hour(s) before the current timestamp within the same FSA.,True,True,historical_only,low_if_computed_after_temporal_ordering
total_consumption_kwh_lag_48h,target_lag,total_consumption_kwh,Electricity consumption observed 48 hour(s) before the current timestamp within the same FSA.,True,True,historical_only,low_if_computed_after_temporal_ordering
total_consumption_kwh_lag_168h,target_lag,total_consumption_kwh,Electricity consumption observed 168 hour(s) before the current timestamp within the same FSA.,True,True,historical_only,low_if_computed_after_temporal_ordering
total_consumption_kwh_rolling_mean_3h,target_rolling,total_consumption_kwh,"Mean of the previous 3 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_std_3h,target_rolling,total_consumption_kwh,"Std of the previous 3 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_min_3h,target_rolling,total_consumption_kwh,"Min of the previous 3 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_max_3h,target_rolling,total_consumption_kwh,"Max of the previous 3 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_mean_6h,target_rolling,total_consumption_kwh,"Mean of the previous 6 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_std_6h,target_rolling,total_consumption_kwh,"Std of the previous 6 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_min_6h,target_rolling,total_consumption_kwh,"Min of the previous 6 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_max_6h,target_rolling,total_consumption_kwh,"Max of the previous 6 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_mean_24h,target_rolling,total_consumption_kwh,"Mean of the previous 24 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_std_24h,target_rolling,total_consumption_kwh,"Std of the previous 24 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_min_24h,target_rolling,total_consumption_kwh,"Min of the previous 24 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_max_24h,target_rolling,total_consumption_kwh,"Max of the previous 24 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_mean_168h,target_rolling,total_consumption_kwh,"Mean of the previous 168 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_std_168h,target_rolling,total_consumption_kwh,"Std of the previous 168 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_min_168h,target_rolling,total_consumption_kwh,"Min of the previous 168 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
total_consumption_kwh_rolling_max_168h,target_rolling,total_consumption_kwh,"Max of the previous 168 hourly consumption observations, excluding the current hour.",True,True,historical_only,low_if_shift_is_preserved
temperature_change_1h,weather_change,Temp (°C),Change in Temp (°C) relative to 1 hour(s) earlier.,True,True,historical_plus_current_exogenous,low
temperature_change_24h,weather_change,Temp (°C),Change in Temp (°C) relative to 24 hour(s) earlier.,True,True,historical_plus_current_exogenous,low
humidity_change_1h,weather_change,Rel Hum (%),Change in Rel Hum (%) relative to 1 hour(s) earlier.,True,True,historical_plus_current_exogenous,low
pressure_change_1h,weather_change,Stn Press (kPa),Change in Stn Press (kPa) relative to 1 hour(s) earlier.,True,True,historical_plus_current_exogenous,low
temperature_rolling_mean_6h,weather_rolling,Temp (°C),"Mean Temp (°C) over the previous 6 hours, excluding the current hour.",True,True,historical_only,low
temperature_rolling_mean_24h,weather_rolling,Temp (°C),"Mean Temp (°C) over the previous 24 hours, excluding the current hour.",True,True,historical_only,low
humidity_rolling_mean_6h,weather_rolling,Rel Hum (%),"Mean Rel Hum (%) over the previous 6 hours, excluding the current hour.",True,True,historical_only,low
humidity_rolling_mean_24h,weather_rolling,Rel Hum (%),"Mean Rel Hum (%) over the previous 24 hours, excluding the current hour.",True,True,historical_only,low
heating_degree_c,weather_nonlinear,Temp (°C),Positive temperature deficit below 18 °C.,True,True,current_exogenous,low
cooling_degree_c,weather_nonlinear,Temp (°C),Positive temperature excess above 18 °C.,True,True,current_exogenous,low
temperature_x_hour,interaction,Temp (°C) | hour,Interaction between current temperature and hour of day.,True,True,current_exogenous,low
temperature_x_weekend,interaction,Temp (°C) | is_weekend,Interaction between current temperature and weekend status.,True,True,current_exogenous,low
